,,,,,,,,,,,,,,,,,,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,-additional
,,,,,,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,,,Standard,Standard,Standard,Standard,Standard,Standard,,-9999
Rk,Player,Gls/90,SoT/90,Sh/90,G/Sh,G/SoT,TklW/90,Int/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,TklW/90,Int/90,Tkl+Int,Sh/90,G/Sh,G/SoT,SoT/90,SoT%,FK,Pos,-9999
68,Marcus Forss,0.6,1.1,2.9,0.17,0.43,1.1,0.6,2023-2024,24,fi FIN,Middlesbrough,eng Championship,21,1117,12.4,12,9,0,0.6,0.2,0.7,0.5,0.1,0.1,0.0,1.1,0.6,0.0,2.9,0.17,0.43,1.1,38.9,,MFFW,82c215a0
69,Andreas Hountondji,0.6,1.3,3.0,0.18,0.42,0.1,0.1,2023-2024,21,bj BEN,Rodez AF,fr Ligue 2,34,2246,25.0,28,6,0,0.6,0.2,0.8,0.6,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.18,0.42,1.3,43.4,,FW,02953b59
70,Sam Lammers,0.6,1.7,3.4,0.15,0.30,0.8,0.2,2023-2024,26,nl NED,Utrecht,nl Eredivisie,18,1605,17.8,18,0,0,0.6,0.2,0.7,0.5,0.1,0.1,0.0,0.8,0.2,0.0,3.4,0.15,0.30,1.7,49.2,,FW,c283ddef
71,Federico Viñas,0.6,1.7,3.7,0.13,0.29,0.8,0.3,2023-2024,25,uy URU,León,mx Liga MX,29,2250,25.0,27,2,0,0.6,0.1,0.7,0.5,0.1,0.1,0.0,0.8,0.3,0.0,3.7,0.13,0.29,1.7,45.7,,FW,d30c7094
72,Gennaro Borrelli,0.6,1.1,2.9,0.17,0.44,0.3,0.1,2023-2024,23,it ITA,Brescia,it Serie B,28,1450,16.1,16,12,1,0.6,0.1,0.7,0.5,0.1,0.1,0.0,0.3,0.1,0.0,2.9,0.17,0.44,1.1,38.3,,FW,04c4edc1
73,Salomón Rondón,0.6,1.6,4.3,0.10,0.26,0.2,0.0,2023-2024,33,ve VEN,Pachuca,mx Liga MX,17,1291,14.3,13,4,0,0.6,0.1,0.7,0.4,0.1,0.1,0.0,0.2,0.0,0.0,4.3,0.10,0.26,1.6,37.7,,FW,b318a643
74,Steven Bergwijn,0.6,1.4,3.1,0.11,0.23,0.6,0.2,2023-2024,25,nl NED,Ajax,nl Eredivisie,24,1944,21.6,23,1,0,0.6,0.2,0.7,0.3,0.2,0.2,0.0,0.6,0.2,0.0,3.1,0.11,0.23,1.4,45.5,,MFFW,a29b1131
75,Christian Gytkjær,0.6,0.9,2.6,0.19,0.56,0.3,0.3,2023-2024,33,dk DEN,Venezia,it Serie B,38,1789,19.9,18,20,0,0.6,0.1,0.7,0.5,0.1,0.1,0.0,0.3,0.3,0.0,2.6,0.19,0.56,0.9,34.6,,FW,9250bcff
76,Luca Strizzolo,0.6,0.8,3.0,0.18,0.67,0.4,0.1,2023-2024,31,it ITA,Modena,it Serie B,26,976,10.8,9,17,2,0.6,0.0,0.6,0.6,0.0,0.0,0.0,0.4,0.1,0.0,3.0,0.18,0.67,0.8,27.3,,FW,2bcfd41b
77,Fabio Borini,0.6,1.5,2.5,0.12,0.21,0.4,0.6,2023-2024,32,it ITA,Sampdoria,it Serie B,22,1464,16.3,16,6,0,0.6,0.2,0.7,0.3,0.2,0.3,0.1,0.4,0.6,0.0,2.5,0.12,0.21,1.5,58.5,,FWMF,ef5b337e
