,Player,Nation,Team,Comp,Pos,90s,Age,Ast,G+A,G-PK,G/Sh,G/SoT,Gls/90,Int/90,MP,Min,PK,PKatt,PKm,Sh/90,SoT%,SoT/90,Starts,Subs,TklW/90,unSub,Gls,Int,Sh,SoT
2994,Daniël van Kaam,Netherlands,Cambuur,nl Eerste Divisie,MF,22.75,23.5,0.15000000000000002,0.15000000000000002,0.05,0.055,0.335,0.05,0.7,31.5,2049.0,0.0,0.0,0.0,0.44999999999999996,20.4,0.1,23.0,8.5,0.8999999999999999,4.0,0.0,0.5,0.3,0.1
2995,Eduardo Espiau,Spain,Burgos,es Segunda División,FW,19.05,28.5,0.05,0.1,0.1,0.045,0.14,0.1,0.4,39.0,1713.5,0.0,0.0,0.0,2.3,32.4,0.75,16.5,22.5,0.25,0.5,0.1,0.3,2.2,0.7
2996,Fabian Nürnberger,Bulgaria,Darmstadt 98,de Bundesliga,MF,20.35,24.5,0.05,0.1,0.05,0.04,0.135,0.05,1.1,24.5,1833.0,0.0,0.0,0.0,1.2000000000000002,31.450000000000003,0.4,21.0,3.5,1.2,0.0,0.0,1.2,1.3,0.4
2997,Niklas Süle,Germany,Dortmund,de Bundesliga,DF,14.25,27.5,0.0,0.05,0.05,0.07,0.5,0.05,0.85,19.0,1283.5,0.0,0.0,0.0,0.6000000000000001,18.25,0.15000000000000002,13.0,6.0,0.8,7.5,0.0,0.3,0.8,0.2
2998,Ryan Porteous,Scotland,Watford,eng Championship,DF,30.650000000000002,24.5,0.05,0.1,0.1,0.14,0.575,0.1,1.75,35.0,2757.0,0.0,0.0,0.0,0.6,23.65,0.1,30.0,5.0,1.3,8.5,0.1,1.7,0.6,0.1
2999,Badou Ndiaye,Senegal,2 Teams,tr Süper Lig,MF,21.85,32.5,0.05,0.1,0.05,0.05,0.15500000000000003,0.05,1.2000000000000002,24.5,1969.5,0.0,0.0,0.0,1.1,30.65,0.30000000000000004,23.0,1.5,1.35,1.0,0.0,1.3,0.7,0.2
3000,Steve Rouiller,Switzerland,Servette FC,ch Swiss Super League,DF,30.3,33.5,0.0,0.15000000000000002,0.15000000000000002,0.135,0.395,0.15000000000000002,1.75,31.5,2724.0,0.0,0.0,0.0,0.85,33.1,0.30000000000000004,31.5,0.0,1.2999999999999998,0.5,0.2,1.7,1.0,0.4
3001,Miguel Gutiérrez,Spain,Girona,es La Liga,DFMF,30.5,22.5,0.2,0.25,0.05,0.05,0.255,0.05,0.6499999999999999,32.0,2745.0,0.0,0.0,0.0,1.0,23.4,0.2,32.0,0.0,0.7,1.0,0.0,0.6,1.0,0.3
3002,Oscar Priestman,Australia,Western Sydney Wanderers,au A-League Men,MF,18.1,20.5,0.1,0.15000000000000002,0.1,0.115,0.41500000000000004,0.1,1.2,25.0,1627.0,0.0,0.0,0.0,0.6,26.049999999999997,0.15000000000000002,17.5,7.5,2.05,1.0,0.1,1.2,0.3,0.1
3003,Massimo Bertagnoli,Italy,Brescia,it Serie B,MF,16.75,24.5,0.05,0.1,0.1,0.05500000000000001,0.12000000000000001,0.1,1.3,27.5,1504.0,0.0,0.0,0.0,1.25,41.85,0.5,16.5,11.0,1.4500000000000002,3.5,0.1,1.7,1.6,0.6
